case_id,customer_id,case_type,created_date,lookback_days,case_age_days,reviewed_txn_count,reviewed_amount,high_risk_txn_count,red_flag_count,primary_red_flag,case_risk_score,priority,disposition,sar_flag,customer_name,customer_type,country,kyc_risk,pep_flag,expected_monthly_volume,investigation_summary,sar_decision_reason
CASE0011,CUST10352,Business Activity Inconsistent with Profile,2026-01-10,90,36,79,15237.27,3,3,Unusual Volume,74,High,Close - No Suspicion,0,Customer 0353,Individual,United States,Low,0,12927.1,Reviewed 79 transactions over a 90-day lookback. Observed unusual volume indicators and 3 high-risk transactions. Customer KYC risk is low with case risk score 74.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0012,CUST10490,High-Risk Wires,2026-04-26,180,2,96,148706.59,11,4,Unusual Volume,50,High,Close - No Suspicion,0,Customer 0491,Individual,India,Moderate,0,11070.32,Reviewed 96 transactions over a 180-day lookback. Observed unusual volume indicators and 11 high-risk transactions. Customer KYC risk is moderate with case risk score 50.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0013,CUST10527,Unusual Volume Increase,2026-05-14,60,16,23,22156.69,0,0,High-Risk Jurisdiction,67,High,Close - No Suspicion,0,Customer 0528,Business,United States,Low,0,10250.88,Reviewed 23 transactions over a 60-day lookback. Observed high-risk jurisdiction indicators and 0 high-risk transactions. Customer KYC risk is low with case risk score 67.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0014,CUST10081,Unusual Volume Increase,2026-08-08,60,43,78,30404.68,6,0,Activity Inconsistent with Profile,58,Moderate,Escalate for Additional Review,0,Customer 0082,Individual,United States,Moderate,0,3327.93,Reviewed 78 transactions over a 60-day lookback. Observed activity inconsistent with profile indicators and 6 high-risk transactions. Customer KYC risk is moderate with case risk score 58.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0015,CUST10062,Rapid Movement of Funds,2026-01-30,60,13,86,52701.17,6,2,Rapid Movement,57,Moderate,Close - No Suspicion,0,Customer 0063,Individual,Turkey,Low,0,10436.74,Reviewed 86 transactions over a 60-day lookback. Observed rapid movement indicators and 6 high-risk transactions. Customer KYC risk is low with case risk score 57.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0016,CUST10736,P2P / Funnel Activity,2026-07-16,180,45,98,157161.23,20,4,High-Risk Jurisdiction,67,High,SAR Recommended,1,Customer 0737,Individual,India,Low,0,14628.21,Reviewed 98 transactions over a 180-day lookback. Observed high-risk jurisdiction indicators and 20 high-risk transactions. Customer KYC risk is low with case risk score 67.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0017,CUST10109,Rapid Movement of Funds,2026-05-25,90,12,101,98173.41,18,0,Structuring,36,Low,Close - No Suspicion,0,Customer 0110,Individual,United States,Low,0,3387.36,Reviewed 101 transactions over a 90-day lookback. Observed structuring indicators and 18 high-risk transactions. Customer KYC risk is low with case risk score 36.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0018,CUST10271,Rapid Movement of Funds,2026-08-26,180,38,100,11153.12,17,1,Unusual Volume,62,Moderate,Close - No Suspicion,0,Customer 0272,Individual,China,Moderate,0,4597.6,Reviewed 100 transactions over a 180-day lookback. Observed unusual volume indicators and 17 high-risk transactions. Customer KYC risk is moderate with case risk score 62.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0019,CUST10205,Rapid Movement of Funds,2026-01-17,30,25,66,156399.56,12,1,Unusual Volume,53,Moderate,Close - No Suspicion,0,Customer 0206,Individual,United States,Low,0,30132.72,Reviewed 66 transactions over a 30-day lookback. Observed unusual volume indicators and 12 high-risk transactions. Customer KYC risk is low with case risk score 53.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0020,CUST10670,Business Activity Inconsistent with Profile,2026-08-18,60,19,64,56201.79,5,3,High-Risk Jurisdiction,66,High,Close - No Suspicion,0,Customer 0671,Individual,China,Low,0,2979.7,Reviewed 64 transactions over a 60-day lookback. Observed high-risk jurisdiction indicators and 5 high-risk transactions. Customer KYC risk is low with case risk score 66.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0021,CUST10072,P2P / Funnel Activity,2026-08-23,90,30,17,142982.63,2,1,Rapid Movement,66,High,Close - No Suspicion,0,Customer 0073,Individual,India,Low,0,6501.14,Reviewed 17 transactions over a 90-day lookback. Observed rapid movement indicators and 2 high-risk transactions. Customer KYC risk is low with case risk score 66.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0022,CUST10106,Business Activity Inconsistent with Profile,2026-06-02,90,44,88,190008.56,7,3,Funnel Activity,53,Moderate,Close - No Suspicion,0,Customer 0107,Individual,United States,Low,0,9061.31,Reviewed 88 transactions over a 90-day lookback. Observed funnel activity indicators and 7 high-risk transactions. Customer KYC risk is low with case risk score 53.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0023,CUST10264,Structuring / Cash Activity,2026-03-21,60,42,118,21359.03,24,3,Unusual Volume,50,Moderate,Escalate for Additional Review,0,Customer 0265,Individual,United States,Low,0,12269.56,Reviewed 118 transactions over a 60-day lookback. Observed unusual volume indicators and 24 high-risk transactions. Customer KYC risk is low with case risk score 50.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0024,CUST10790,Unusual Volume Increase,2026-05-05,90,24,15,140818.94,5,3,Unusual Volume,72,High,SAR Filed,1,Customer 0791,Individual,Nigeria,Low,0,25241.54,Reviewed 15 transactions over a 90-day lookback. Observed unusual volume indicators and 5 high-risk transactions. Customer KYC risk is low with case risk score 72.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0025,CUST10319,Unusual Volume Increase,2026-01-06,180,23,97,25057.42,5,3,Activity Inconsistent with Profile,64,Moderate,Close - No Suspicion,0,Customer 0320,Business,India,Low,0,6653.86,Reviewed 97 transactions over a 180-day lookback. Observed activity inconsistent with profile indicators and 5 high-risk transactions. Customer KYC risk is low with case risk score 64.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0026,CUST10469,Business Activity Inconsistent with Profile,2026-07-26,30,41,100,69201.42,20,2,Funnel Activity,58,Moderate,SAR Filed,1,Customer 0470,Individual,Turkey,Moderate,0,27923.38,Reviewed 100 transactions over a 30-day lookback. Observed funnel activity indicators and 20 high-risk transactions. Customer KYC risk is moderate with case risk score 58.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0027,CUST10484,High-Risk Wires,2026-06-01,90,31,98,43832.5,6,3,Structuring,49,Low,SAR Recommended,1,Customer 0485,Business,United States,Moderate,0,25292.32,Reviewed 98 transactions over a 90-day lookback. Observed structuring indicators and 6 high-risk transactions. Customer KYC risk is moderate with case risk score 49.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0028,CUST10103,Rapid Movement of Funds,2026-07-07,60,11,112,45029.5,3,2,Funnel Activity,58,Moderate,Escalate for Additional Review,0,Customer 0104,Individual,United States,High,0,8583.98,Reviewed 112 transactions over a 60-day lookback. Observed funnel activity indicators and 3 high-risk transactions. Customer KYC risk is high with case risk score 58.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0029,CUST10661,High-Risk Wires,2026-06-10,90,32,84,12465.21,14,4,Unusual Volume,67,High,Close - No Suspicion,0,Customer 0662,Individual,Mexico,High,0,8524.56,Reviewed 84 transactions over a 90-day lookback. Observed unusual volume indicators and 14 high-risk transactions. Customer KYC risk is high with case risk score 67.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0030,CUST10350,Unusual Volume Increase,2026-08-23,90,22,116,40659.93,10,6,High-Risk Jurisdiction,52,Critical,Escalate for Additional Review,0,Customer 0351,Individual,United Kingdom,Low,0,16246.68,Reviewed 116 transactions over a 90-day lookback. Observed high-risk jurisdiction indicators and 10 high-risk transactions. Customer KYC risk is low with case risk score 52.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0031,CUST10471,Unusual Volume Increase,2026-07-02,180,15,79,332500.79,5,1,Funnel Activity,68,High,SAR Recommended,1,Customer 0472,Individual,Turkey,Low,0,4173.46,Reviewed 79 transactions over a 180-day lookback. Observed funnel activity indicators and 5 high-risk transactions. Customer KYC risk is low with case risk score 68.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0032,CUST10289,P2P / Funnel Activity,2026-05-23,30,15,30,7989.82,2,0,Unusual Volume,67,High,Close - No Suspicion,0,Customer 0290,Business,United States,Low,1,8274.99,Reviewed 30 transactions over a 30-day lookback. Observed unusual volume indicators and 2 high-risk transactions. Customer KYC risk is low with case risk score 67.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0033,CUST10277,Structuring / Cash Activity,2026-06-02,60,31,43,9686.62,2,3,High-Risk Jurisdiction,71,High,Close - No Suspicion,0,Customer 0278,Individual,Russia,Low,0,41700.5,Reviewed 43 transactions over a 60-day lookback. Observed high-risk jurisdiction indicators and 2 high-risk transactions. Customer KYC risk is low with case risk score 71.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0034,CUST10222,High-Risk Wires,2026-01-09,90,23,19,45774.83,2,6,Rapid Movement,77,Critical,Close - No Suspicion,0,Customer 0223,Business,United States,Moderate,0,1369.15,Reviewed 19 transactions over a 90-day lookback. Observed rapid movement indicators and 2 high-risk transactions. Customer KYC risk is moderate with case risk score 77.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0035,CUST10043,Structuring / Cash Activity,2026-08-12,60,32,33,14590.39,6,2,Activity Inconsistent with Profile,77,High,SAR Recommended,1,Customer 0044,Individual,United Arab Emirates,Moderate,0,4445.3,Reviewed 33 transactions over a 60-day lookback. Observed activity inconsistent with profile indicators and 6 high-risk transactions. Customer KYC risk is moderate with case risk score 77.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0036,CUST10732,Business Activity Inconsistent with Profile,2026-09-04,30,24,80,131880.2,16,4,Activity Inconsistent with Profile,77,High,Escalate for Additional Review,0,Customer 0733,Individual,United Kingdom,Moderate,0,20915.88,Reviewed 80 transactions over a 30-day lookback. Observed activity inconsistent with profile indicators and 16 high-risk transactions. Customer KYC risk is moderate with case risk score 77.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0037,CUST10801,Business Activity Inconsistent with Profile,2026-08-10,180,22,52,96884.83,9,5,Structuring,47,High,Close - No Suspicion,0,Customer 0802,Individual,United States,High,0,21615.98,Reviewed 52 transactions over a 180-day lookback. Observed structuring indicators and 9 high-risk transactions. Customer KYC risk is high with case risk score 47.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0038,CUST10742,High-Risk Wires,2026-03-09,90,14,81,142314.75,3,3,Unusual Volume,57,Moderate,Close - No Suspicion,0,Customer 0743,Business,United States,Moderate,0,10127.8,Reviewed 81 transactions over a 90-day lookback. Observed unusual volume indicators and 3 high-risk transactions. Customer KYC risk is moderate with case risk score 57.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0039,CUST10215,High-Risk Wires,2026-07-01,90,44,74,17450.7,13,2,Funnel Activity,65,High,Close - No Suspicion,0,Customer 0216,Individual,United States,Low,1,19418.66,Reviewed 74 transactions over a 90-day lookback. Observed funnel activity indicators and 13 high-risk transactions. Customer KYC risk is low with case risk score 65.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0040,CUST10378,Rapid Movement of Funds,2026-04-01,30,14,58,111889.91,7,3,High-Risk Jurisdiction,42,Low,Close - No Suspicion,0,Customer 0379,Business,China,Low,0,26361.33,Reviewed 58 transactions over a 30-day lookback. Observed high-risk jurisdiction indicators and 7 high-risk transactions. Customer KYC risk is low with case risk score 42.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0041,CUST10719,Rapid Movement of Funds,2026-03-09,30,2,28,76160.11,8,1,Unusual Volume,64,Moderate,SAR Filed,1,Customer 0720,Individual,United States,High,0,23204.47,Reviewed 28 transactions over a 30-day lookback. Observed unusual volume indicators and 8 high-risk transactions. Customer KYC risk is high with case risk score 64.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0042,CUST10580,Structuring / Cash Activity,2026-05-19,90,5,117,7708.99,16,1,Activity Inconsistent with Profile,84,Critical,SAR Filed,1,Customer 0581,Individual,United States,High,0,12884.11,Reviewed 117 transactions over a 90-day lookback. Observed activity inconsistent with profile indicators and 16 high-risk transactions. Customer KYC risk is high with case risk score 84.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0043,CUST10364,High-Risk Wires,2026-03-24,60,23,34,82758.85,2,2,Funnel Activity,36,Low,Close - No Suspicion,0,Customer 0365,Individual,United Kingdom,Low,0,15927.66,Reviewed 34 transactions over a 60-day lookback. Observed funnel activity indicators and 2 high-risk transactions. Customer KYC risk is low with case risk score 36.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0044,CUST10684,Rapid Movement of Funds,2026-07-29,60,12,91,427557.92,13,0,Unusual Volume,83,Critical,SAR Filed,1,Customer 0685,Individual,Canada,High,0,3220.9,Reviewed 91 transactions over a 60-day lookback. Observed unusual volume indicators and 13 high-risk transactions. Customer KYC risk is high with case risk score 83.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0045,CUST10671,Rapid Movement of Funds,2026-03-16,90,5,86,12175.73,5,4,Unusual Volume,42,High,Close - No Suspicion,0,Customer 0672,Individual,United States,Moderate,0,13338.16,Reviewed 86 transactions over a 90-day lookback. Observed unusual volume indicators and 5 high-risk transactions. Customer KYC risk is moderate with case risk score 42.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0046,CUST10034,Structuring / Cash Activity,2026-02-15,30,4,109,127043.59,9,5,High-Risk Jurisdiction,65,High,Escalate for Additional Review,0,Customer 0035,Individual,United States,Low,0,7399.14,Reviewed 109 transactions over a 30-day lookback. Observed high-risk jurisdiction indicators and 9 high-risk transactions. Customer KYC risk is low with case risk score 65.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0047,CUST10586,High-Risk Wires,2026-08-13,90,29,15,25470.23,0,3,Activity Inconsistent with Profile,54,Moderate,SAR Recommended,1,Customer 0587,Individual,United Kingdom,Low,0,11550.37,Reviewed 15 transactions over a 90-day lookback. Observed activity inconsistent with profile indicators and 0 high-risk transactions. Customer KYC risk is low with case risk score 54.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0048,CUST10157,Rapid Movement of Funds,2026-05-20,180,23,81,73316.03,15,3,Activity Inconsistent with Profile,40,Low,Close - No Suspicion,0,Customer 0158,Individual,United Kingdom,Low,0,5528.87,Reviewed 81 transactions over a 180-day lookback. Observed activity inconsistent with profile indicators and 15 high-risk transactions. Customer KYC risk is low with case risk score 40.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0049,CUST10704,High-Risk Wires,2026-06-22,90,4,67,15135.53,13,2,High-Risk Jurisdiction,37,Low,Close - No Suspicion,0,Customer 0705,Individual,United Kingdom,Low,0,152510.98,Reviewed 67 transactions over a 90-day lookback. Observed high-risk jurisdiction indicators and 13 high-risk transactions. Customer KYC risk is low with case risk score 37.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0050,CUST10645,Structuring / Cash Activity,2026-06-16,180,5,10,6051.48,1,3,High-Risk Jurisdiction,51,Moderate,SAR Recommended,1,Customer 0646,Business,United Kingdom,Low,0,24634.18,Reviewed 10 transactions over a 180-day lookback. Observed high-risk jurisdiction indicators and 1 high-risk transactions. Customer KYC risk is low with case risk score 51.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0051,CUST10836,Rapid Movement of Funds,2026-04-10,60,38,61,27215.34,13,2,Activity Inconsistent with Profile,69,High,SAR Filed,1,Customer 0837,Individual,United States,Moderate,0,1929.11,Reviewed 61 transactions over a 60-day lookback. Observed activity inconsistent with profile indicators and 13 high-risk transactions. Customer KYC risk is moderate with case risk score 69.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0052,CUST10220,Structuring / Cash Activity,2026-06-06,60,2,39,17229.25,3,4,Rapid Movement,75,High,Escalate for Additional Review,0,Customer 0221,Individual,United Arab Emirates,Moderate,0,38806.17,Reviewed 39 transactions over a 60-day lookback. Observed rapid movement indicators and 3 high-risk transactions. Customer KYC risk is moderate with case risk score 75.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0053,CUST10265,Unusual Volume Increase,2026-03-16,60,33,73,38136.48,6,2,High-Risk Jurisdiction,54,Moderate,Escalate for Additional Review,0,Customer 0266,Business,United States,Low,0,37567.79,Reviewed 73 transactions over a 60-day lookback. Observed high-risk jurisdiction indicators and 6 high-risk transactions. Customer KYC risk is low with case risk score 54.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0054,CUST10279,High-Risk Wires,2026-05-01,90,6,29,49028.11,12,3,Structuring,46,Low,Close - No Suspicion,0,Customer 0280,Business,India,Low,0,7873.3,Reviewed 29 transactions over a 90-day lookback. Observed structuring indicators and 12 high-risk transactions. Customer KYC risk is low with case risk score 46.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0055,CUST10488,High-Risk Wires,2026-01-30,90,12,85,40834.01,14,1,Funnel Activity,69,High,SAR Filed,1,Customer 0489,Business,United States,Moderate,0,10828.05,Reviewed 85 transactions over a 90-day lookback. Observed funnel activity indicators and 14 high-risk transactions. Customer KYC risk is moderate with case risk score 69.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0056,CUST10498,High-Risk Wires,2026-06-14,90,42,91,48771.99,11,4,Structuring,56,High,SAR Recommended,1,Customer 0499,Individual,Nigeria,Moderate,0,6969.2,Reviewed 91 transactions over a 90-day lookback. Observed structuring indicators and 11 high-risk transactions. Customer KYC risk is moderate with case risk score 56.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0057,CUST10667,Unusual Volume Increase,2026-07-07,90,15,65,102520.65,10,3,High-Risk Jurisdiction,52,Moderate,Close - No Suspicion,0,Customer 0668,Individual,United States,Low,0,6107.6,Reviewed 65 transactions over a 90-day lookback. Observed high-risk jurisdiction indicators and 10 high-risk transactions. Customer KYC risk is low with case risk score 52.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0058,CUST10191,Business Activity Inconsistent with Profile,2026-05-29,30,39,91,58266.4,15,3,Structuring,56,Moderate,Close - No Suspicion,0,Customer 0192,Individual,India,Moderate,0,4565.98,Reviewed 91 transactions over a 30-day lookback. Observed structuring indicators and 15 high-risk transactions. Customer KYC risk is moderate with case risk score 56.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0059,CUST10255,High-Risk Wires,2026-08-22,90,32,87,12236.06,3,4,High-Risk Jurisdiction,68,High,Close - No Suspicion,0,Customer 0256,Individual,Nigeria,Low,0,12829.6,Reviewed 87 transactions over a 90-day lookback. Observed high-risk jurisdiction indicators and 3 high-risk transactions. Customer KYC risk is low with case risk score 68.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0060,CUST10557,Unusual Volume Increase,2026-04-15,30,41,25,35653.12,6,0,Structuring,75,High,SAR Filed,1,Customer 0558,Individual,United Kingdom,High,0,9496.46,Reviewed 25 transactions over a 30-day lookback. Observed structuring indicators and 6 high-risk transactions. Customer KYC risk is high with case risk score 75.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0061,CUST10194,Rapid Movement of Funds,2026-02-16,60,26,28,48452.7,2,4,Funnel Activity,57,High,Close - No Suspicion,0,Customer 0195,Business,Mexico,Low,0,4363.16,Reviewed 28 transactions over a 60-day lookback. Observed funnel activity indicators and 2 high-risk transactions. Customer KYC risk is low with case risk score 57.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0062,CUST10143,P2P / Funnel Activity,2026-06-04,180,41,84,184603.41,10,4,Structuring,44,High,SAR Recommended,1,Customer 0144,Individual,Canada,Low,0,5641.69,Reviewed 84 transactions over a 180-day lookback. Observed structuring indicators and 10 high-risk transactions. Customer KYC risk is low with case risk score 44.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0063,CUST10854,P2P / Funnel Activity,2026-06-25,180,6,69,96200.82,6,1,Structuring,69,High,Close - No Suspicion,0,Customer 0855,Individual,United Kingdom,Low,0,19915.29,Reviewed 69 transactions over a 180-day lookback. Observed structuring indicators and 6 high-risk transactions. Customer KYC risk is low with case risk score 69.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0064,CUST10838,Structuring / Cash Activity,2026-02-18,90,45,42,71121.46,2,0,Rapid Movement,82,Critical,Escalate for Additional Review,0,Customer 0839,Individual,United Arab Emirates,High,0,16662.95,Reviewed 42 transactions over a 90-day lookback. Observed rapid movement indicators and 2 high-risk transactions. Customer KYC risk is high with case risk score 82.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0065,CUST10839,Rapid Movement of Funds,2026-03-14,60,27,50,44978.13,8,3,Activity Inconsistent with Profile,63,Moderate,SAR Filed,1,Customer 0840,Individual,United Arab Emirates,Low,0,6840.27,Reviewed 50 transactions over a 60-day lookback. Observed activity inconsistent with profile indicators and 8 high-risk transactions. Customer KYC risk is low with case risk score 63.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0066,CUST10164,P2P / Funnel Activity,2026-05-13,180,36,23,11447.66,2,1,Unusual Volume,50,Moderate,Escalate for Additional Review,0,Customer 0165,Individual,Mexico,Low,0,3933.49,Reviewed 23 transactions over a 180-day lookback. Observed unusual volume indicators and 2 high-risk transactions. Customer KYC risk is low with case risk score 50.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0067,CUST10358,Structuring / Cash Activity,2026-05-27,30,35,58,58275.9,5,5,Structuring,61,High,Close - No Suspicion,0,Customer 0359,Business,United States,Low,0,6364.83,Reviewed 58 transactions over a 30-day lookback. Observed structuring indicators and 5 high-risk transactions. Customer KYC risk is low with case risk score 61.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0068,CUST10465,Structuring / Cash Activity,2026-08-22,30,4,71,85942.37,0,2,Funnel Activity,47,Low,Close - No Suspicion,0,Customer 0466,Individual,United States,High,0,9932.56,Reviewed 71 transactions over a 30-day lookback. Observed funnel activity indicators and 0 high-risk transactions. Customer KYC risk is high with case risk score 47.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0069,CUST10705,Structuring / Cash Activity,2026-05-01,30,43,95,6203.49,15,5,High-Risk Jurisdiction,45,High,Close - No Suspicion,0,Customer 0706,Individual,China,Low,0,7285.75,Reviewed 95 transactions over a 30-day lookback. Observed high-risk jurisdiction indicators and 15 high-risk transactions. Customer KYC risk is low with case risk score 45.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0070,CUST10553,P2P / Funnel Activity,2026-03-06,90,28,9,128653.66,0,2,Activity Inconsistent with Profile,78,High,Escalate for Additional Review,0,Customer 0554,Business,United States,High,0,8113.44,Reviewed 9 transactions over a 90-day lookback. Observed activity inconsistent with profile indicators and 0 high-risk transactions. Customer KYC risk is high with case risk score 78.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
